source_text,target_text
"The traditional etymology is from the Latin aperire, ""to open,"" in allusion to its being the season when trees and flowers begin to ""open"".","The name April comes from that Latin word aperire which means ""to open""."
"April is the fourth month of the year in the Gregorian Calendar, and one of four months with a length of 30 days.",April is the fourth month of the year with 30 days.
"The birthstone of April is the diamond, and the birth flower is typically listed as either the Daisy or the Sweet Pea.",April's flower is the Sweet Pea and its birthstone is the Diamond.
August is the eighth month of the year in the Gregorian Calendar and one of seven Gregorian months with the length of 31 days.,August is the eighth month of the year. It has 31 days.
"This month was originally named Sextilis in Latin, because it was the sixth month in the ancient Roman calendar, which started in March about 735 BC under Romulus.","This month was first called Sextilis in Latin, because it was the sixth month in the old Roman calendar."
"In the east, Islamic art's rejection of iconography led to emphasis on geometric patterns, calligraphy, and architecture.","Islamic art includes geometric patterns, Islamic calligraphy, and architecture."
India and Tibet saw emphasis on painted sculptures and dance with religious painting borrowing many conventions from sculpture and tending to bright contrasting colors with emphasis on outlines.,"In India and Tibet, painted sculptures, dance, and religious painting were done."
"China saw many art forms flourish, jade carving, bronzework, pottery (including the stunning terracotta army of Emperor Qin), poetry, calligraphy, music, painting, drama, fiction, etc.","In China, arts included jade carving, bronzework, pottery, poetry, calligraphy, music, painting, drama, and fiction."
Chinese styles vary greatly from era to era and are traditionally named after the ruling dynasty.,"There are many Chinese artistic styles, which are usually named after the ruling dynasty."
"10 December 2007, Spain is divided into 17 autonomous communities.",Spain is divided in 17 parts called autonomous communities.
"Alan Mathison Turing was a British mathematician, logician, cryptanalyst and computer scientist.",Alan Mathison Turing was an English mathematician and computer scientist.
"During the Second World War, Turing was a main participant in the efforts at Bletchley Park to break German ciphers.","During the Second World War, Turing was a main participant in the efforts to break German ciphers."
"She began her career in Canada, and as a teenager recorded two dance-pop albums, Alanis and Now Is the Time, under MCA Records.",She began singing in Canada as a teenager in 1990.
"She has an older brother, Chad, and a twin brother who is 12 minutes younger than she is.","Alanis has a twin brother and an older brother, Chad."
Centuries of careful selection and breeding have had enormous effects on the characteristics of crop plants.,Careful selection and breeding have had enormous effects on the characteristics of crop plants.
Genetic engineering has expanded the genes available to breeders to utilize in creating desired germlines for new crops.,New plants were created with genetic engineering.
Ensuring that the food supply is free of contamination.,To be sure that the food supply is safe.
Ensuring that the food supply is of a consistent and known quality.,To be sure the food is of good quality.
Ensuring that the food supply meets the population's needs.,To be sure there is enough food for everyone.
"Animal husbandry not only refers to the breeding and raising of animals for meat or to harvest animal products (like milk, eggs, or wool) on a continual basis, but also to the breeding and care of species for work and companionship.","Animal husbandry means breeding and raising animals for meat or to harvest animal products (like milk, eggs, or wool) on a continual basis."
"Australia is a member of the United Nations, G-20 major economies, Commonwealth of Nations, ANZUS, OECD, and the WTO.",Australia is a member of the United Nations and the Commonwealth of Nations.
The form of government used in Australia is a constitutional monarchy with a parliamentary system of government.,It is a parliamentary democracy and a constitutional monarchy with the British monarch as Head of State.
"Australia has six states New South Wales, Queensland, South Australia, Tasmania, Victoria, and Western Australia and two major mainland territorie the Northern Territory and the Australian Capital Territory (ACT).","The states are New South Wales, Queensland, South Australia, Tasmania, Victoria, and Western Australia."
"In July 2007 the population is almost 21.9 million, with approximately 60% concentrated in and around the mainland state capitals of Sydney, Melbourne, Brisbane, Perth, and Adelaide.",Australia had just over 21 million people.
"Each state and major mainland territory has its own legislature or parliament: unicameral in the Northern Territory, the ACT, and Queensland, and bicameral in the remaining states.",Each of state and territory has its own Parliament and makes its own local laws.
The Labor Party came to office with Kevin Rudd as Prime Minister following the November 2007 election.,"The current Prime Minister is Kevin Rudd, elected in November 2007."
Approximately 24% Australians over the age of 15 regularly participate in organised sporting activities in Australia.,24% Australians over the age of 15 regularly take part in in organised sporting activities.
